id,phase_uuid,round_date,created_at,time_round,local,event_phase_uuid,event_parts_count,round_name
c21c0f0e-097c-4b26-826d-7a2e80d79c29,,,2026-06-12 22:03:53.22565,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
c336b4a1-c493-4b07-ab16-37f66b01e9b6,,,2026-06-12 22:03:43.849927,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
c5ba26ad-3861-4406-b7f5-ed9420201034,,,2026-06-12 22:03:47.634181,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
cd0942a9-bad6-45c2-a925-acfbafbfd39e,,,2026-06-12 22:03:42.71684,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
cd0f5cc9-c717-4949-add1-dde6ed99f627,,,2026-06-12 22:03:52.969386,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
ce18e376-8679-4ea6-9197-d1079307cac7,,,2026-06-12 22:03:49.991187,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
d1f9dc2e-f709-4abd-8531-05e074bad201,,,2026-06-12 22:03:48.072081,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
d2710d3b-b787-4ca6-b369-0810467f7dbb,,,2026-06-12 22:03:48.497656,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
d3550688-6ca3-422a-a94b-498fb8f15a8e,,,2026-06-12 05:12:24.231043,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,ARABIA SAUDITA vs UIGUAI
d65d8e90-6977-4465-88ef-1a4d75abc5a0,,,2026-06-12 22:03:51.711031,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
d879495c-2377-4b3e-8a6a-4e4092e8fa8c,,,2026-06-12 05:12:23.384785,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,C.MARFIM vs EQUADOR
db7a7345-a3bb-422f-99fc-23e4099e0973,,,2026-06-12 22:03:55.619317,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
e6b44e41-9604-4bdc-8055-a1f722f4b680,,,2026-06-12 22:03:55.411442,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
e9091819-93d1-4c3e-b97b-389e459cda2c,,,2026-06-12 22:03:56.044097,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
eb27cd50-45e3-4ba2-ad73-037c3f0b9f54,,,2026-06-12 22:03:48.927333,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
f1a94c0b-aaf3-4eb5-b17c-bd2672de8dea,,,2026-06-12 05:12:22.966072,,,4fc838a9-5785-443f-b074-21dde132a2f0,2,ALEMANHA vs CURAÇAO
f5a6de92-0f6a-4efd-8e0f-2d9d13d6c621,,,2026-06-12 22:03:45.87714,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
fa4fb298-4325-425d-8b8d-4326efdb72fb,,,2026-06-12 22:03:48.278534,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
fda45ed7-e41d-4fa4-91e2-2f566132c98f,,,2026-06-12 22:03:45.400139,,,3ac24ce1-87bd-4668-af74-d0d8ab5ab3a7,1,
